	position in rank using contigs	position in rank with raw reads	counts - contigs	counts - raw reads
FLIC	1	1	2392259	629853
DNAK	2	2	590624	618575
GROL	3	3	543280	428633
HTRA	4	75	387582	30272
CLPB	5	9	351813	268179
TUF	6	4	326111	417798
PCKA	7	5	269168	339675
HSP	8	43	262838	48174
MDH	9	14	259689	149975
PPDK	10	8	245001	273079
GAPA	11	7	244865	282700
FLID	12	808	240074	1709
NIFJ	13	10	219253	237748
GSIA	14	8686	207437	0
HTPG	15	17	204307	105897
FRC	16	169	203357	15405
GAP	17	6	202582	298039
PG0694	18	8686	196516	0
OXC	19	697	171783	2161
SODB	20	60	169933	36012
PGM	21	29	136953	64123
MSMK	22	15	133231	133171
PFLB	23	12	127122	159766
RBR	24	57	124990	36466
CLPX	25	88	124737	27525
AHPC	26	18	120797	104788
UREC	27	31	114220	62767
FUSA	28	11	113321	167394
ATPA	29	28	109281	65021
GLGB	30	56	106231	40038
PDUV	31	1647	105803	414
PRMA	32	718	102696	2064
CSD1	33	2947	102133	104
FBA	34	16	101767	117265
SPR	35	191	101764	13285
DACF	36	1269	97308	724
DNAJ	37	34	96006	58720
FTSH	38	33	95725	61749
FLGK	39	933	95008	1289
RAIA	40	49	93527	43898
RPSA	41	22	93081	72519
PGK	42	19	89858	100274
MGLB	43	47	86315	44479
PGI	44	32	85481	62552
MURE	45	553	85327	3245
YFDV	46	8686	85072	0
ASPA	47	39	78794	51601
TRXC	48	197	74981	12578
GLGP	49	30	73166	63904
FUSA2	50	37	72602	53849
GDHA	51	21	72324	80546
RPOC	52	24	71448	71638
TPX	53	330	70631	6906
GROS	54	46	68843	44585
SIGH	55	334	67024	6819
ENO	56	35	66616	56588
GLGC	57	25	65591	69977
FLGE	58	361	63213	6002
GLGD	59	65	62326	34759
SCLAV_5304	60	8686	62108	0
LGG_00305	61	8686	61775	0
YYBT	62	514	61432	3694
KATA	63	66	61305	34712
RPRY	64	48	60955	44219
SECY	65	78	59134	29598
RPOB	66	27	57748	68056
FHS	67	23	57227	72250
YOEA	68	469	55639	4123
ATPD	69	36	54894	56175
GRPE	70	275	54227	8450
BT0173	71	20	54217	98387
UVRB	72	219	53902	11287
LACZ	73	240	53777	10504
RUBR	74	26	53120	69938
CLPC	75	95	52463	26131
ADHE	76	53	52157	42291
RNY	77	38	51725	53337
CHEA	78	198	51269	12521
GLGA	79	54	49976	42231
FLGG	80	689	49336	2191
OMPH	81	560	49306	3156
HRCA	82	120	48665	20887
ETFA	83	41	48094	48444
RPOA	84	42	47337	48224
XTH	85	602	46984	2765
CBC_0187	86	8686	46848	0
OMPA	87	157	45769	17118
NAGH	88	218	45461	11305
XASA	89	380	43887	5615
AMIA	90	425	43370	4818
ERA	91	154	43040	17416
ATPC	92	793	42970	1771
GLPK	93	90	42908	27230
CSPC	94	63	42837	35606
RPLA	95	51	42525	43097
